ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2012-09-10,"Temperature, water",,19.4,deg C,,USGS-340326084223201,-84.2232,34.0326
2012-09-10,"Stream flow, instantaneous",,0.08,ft3/s,,USGS-340326084223201,-84.2232,34.0326
2012-09-10,Specific conductance,Total,64,uS/cm @25C,,USGS-340326084223201,-84.2232,34.0326
2012-09-10,Oxygen,Dissolved,8.0,mg/l,,USGS-340326084223201,-84.2232,34.0326
2012-09-10,"Stream flow, instantaneous",,0.00,m3/sec,,USGS-340326084223201,-84.2232,34.0326
