ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2017-11-16,Stream flow,,805,ft3/s,Mean,USGS-02336000,-84.2716,33.5133
2017-11-16,Stream flow,,23,m3/sec,Mean,USGS-02336000,-84.2716,33.5133
2017-11-16,Escherichia coli,,40,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2017-11-16,Total Coliform,Total,2000,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2014-02-27,Escherichia coli,,12,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2014-02-27,Total Coliform,Total,530,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2018-01-04,Stream flow,,25,m3/sec,Mean,USGS-02336000,-84.2716,33.5133
2018-01-04,"Temperature, water",,3.4,deg C,,USGS-02336000,-84.2716,33.5133
2018-01-04,Stream flow,,876,ft3/s,Mean,USGS-02336000,-84.2716,33.5133
2018-01-04,"Height, gage",,2.73,ft,,USGS-02336000,-84.2716,33.5133
2018-01-04,Specific conductance,Total,104,uS/cm @25C,,USGS-02336000,-84.2716,33.5133
2018-01-04,"Height, gage",,0.83,m,,USGS-02336000,-84.2716,33.5133
2018-01-04,Escherichia coli,,80,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2018-01-04,Total Coliform,Total,740,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2018-01-04,Turbidity,Total,3.2,FNU,,USGS-02336000,-84.2716,33.5133
2012-09-27,"Temperature, water",,17.2,deg C,,USGS-02336000,-84.2716,33.5133
2012-09-27,Stream flow,,899,ft3/s,Mean,USGS-02336000,-84.2716,33.5133
2012-09-27,Stream flow,,25,m3/sec,Mean,USGS-02336000,-84.2716,33.5133
2012-09-27,Escherichia coli,,60,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2012-09-27,Total Coliform,Total,4600,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2012-09-27,Turbidity,Total,2.8,FNU,,USGS-02336000,-84.2716,33.5133
2021-06-24,Total Coliform,Total,10000,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2021-06-24,"Temperature, water",,22.5,deg C,,USGS-02336000,-84.2716,33.5133
2021-06-24,Stream flow,,1230,ft3/s,Mean,USGS-02336000,-84.2716,33.5133
2021-06-24,"Height, gage",,3.17,ft,,USGS-02336000,-84.2716,33.5133
2021-06-24,Specific conductance,Total,76,uS/cm @25C,,USGS-02336000,-84.2716,33.5133
2021-06-24,"Height, gage",,0.97,m,,USGS-02336000,-84.2716,33.5133
2021-06-24,Stream flow,,35,m3/sec,Mean,USGS-02336000,-84.2716,33.5133
2021-06-24,Escherichia coli,,250,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2021-06-24,Turbidity,Total,7.1,FNU,,USGS-02336000,-84.2716,33.5133
2013-04-18,"Temperature, water",,14.8,deg C,,USGS-02336000,-84.2716,33.5133
2013-04-18,Stream flow,,2680,ft3/s,Mean,USGS-02336000,-84.2716,33.5133
2013-04-18,Stream flow,,76,m3/sec,Mean,USGS-02336000,-84.2716,33.5133
2013-04-18,Escherichia coli,,66,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2013-04-18,Total Coliform,Total,3500,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2013-04-18,Turbidity,Total,18,FNU,,USGS-02336000,-84.2716,33.5133
2012-07-26,"Temperature, water",,22.8,deg C,,USGS-02336000,-84.2716,33.5133
2012-07-26,Stream flow,,1080,ft3/s,Mean,USGS-02336000,-84.2716,33.5133
2012-07-26,Stream flow,,31,m3/sec,Mean,USGS-02336000,-84.2716,33.5133
2012-07-26,Escherichia coli,,52,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2012-07-26,Total Coliform,Total,8200,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2012-07-26,Turbidity,Total,6.3,FNU,,USGS-02336000,-84.2716,33.5133
2012-04-26,"Temperature, water",,15.5,deg C,,USGS-02336000,-84.2716,33.5133
2012-04-26,Stream flow,,1830,ft3/s,Mean,USGS-02336000,-84.2716,33.5133
2012-04-26,Stream flow,,52,m3/sec,Mean,USGS-02336000,-84.2716,33.5133
2012-04-26,Escherichia coli,,42,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2012-04-26,Total Coliform,Total,2800,MPN/100 ml,,USGS-02336000,-84.2716,33.5133
2012-04-26,Turbidity,Total,9.3,FNU,,USGS-02336000,-84.2716,33.5133
