ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2012-09-11,"Temperature, water",,18.4,deg C,,USGS-340468084215901,-84.2159,34.0468
2012-09-11,"Stream flow, instantaneous",,0.06,ft3/s,,USGS-340468084215901,-84.2159,34.0468
2012-09-11,Specific conductance,Total,13,uS/cm @25C,,USGS-340468084215901,-84.2159,34.0468
2012-09-11,Oxygen,Dissolved,7.6,mg/l,,USGS-340468084215901,-84.2159,34.0468
2012-09-11,"Stream flow, instantaneous",,0.00,m3/sec,,USGS-340468084215901,-84.2159,34.0468
