ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2015-08-25,Stream width measure,,35.0,ft,,USGS-02336300,-84.24275,33.49131
2015-08-25,"Temperature, water",,23.4,deg C,,USGS-02336300,-84.24275,33.49131
2015-08-25,"Temperature, air",,19.7,deg C,,USGS-02336300,-84.24275,33.49131
2015-08-25,Barometric pressure,,741,mm/Hg,,USGS-02336300,-84.24275,33.49131
2015-08-25,Stream flow,,44,ft3/s,Mean,USGS-02336300,-84.24275,33.49131
2015-08-25,Number of sampling points,,1,count,,USGS-02336300,-84.24275,33.49131
2015-08-25,"Height, gage",,2.48,ft,,USGS-02336300,-84.24275,33.49131
2015-08-25,Specific conductance,Total,104,uS/cm @25C,,USGS-02336300,-84.24275,33.49131
2015-08-25,"Acidity, (H+)",Total,0.00005,mg/l,,USGS-02336300,-84.24275,33.49131
2015-08-25,Oxygen,Dissolved,7.3,mg/l,,USGS-02336300,-84.24275,33.49131
2015-08-25,Oxygen,Dissolved,88,% saturatn,,USGS-02336300,-84.24275,33.49131
2015-08-25,pH,Total,7.3,std units,,USGS-02336300,-84.24275,33.49131
2015-08-25,"Height, gage",,0.76,m,,USGS-02336300,-84.24275,33.49131
2015-08-25,Stream flow,,1.3,m3/sec,Mean,USGS-02336300,-84.24275,33.49131
2015-08-25,Fecal Coliform,,540,cfu/100ml,,USGS-02336300,-84.24275,33.49131
2015-08-25,Escherichia coli,,380,MPN/100 ml,,USGS-02336300,-84.24275,33.49131
2015-08-25,Total Coliform,Total,20000,MPN/100 ml,,USGS-02336300,-84.24275,33.49131
2015-08-25,Turbidity,Total,9.3,FNU,,USGS-02336300,-84.24275,33.49131
2018-02-13,Stream width measure,,40.0,ft,,USGS-02336300,-84.24275,33.49131
2018-02-13,"Temperature, water",,12.8,deg C,,USGS-02336300,-84.24275,33.49131
2018-02-13,"Temperature, air",,9.8,deg C,,USGS-02336300,-84.24275,33.49131
2018-02-13,Barometric pressure,,755,mm/Hg,,USGS-02336300,-84.24275,33.49131
2018-02-13,Stream flow,,97,ft3/s,Mean,USGS-02336300,-84.24275,33.49131
2018-02-13,Number of sampling points,,1,count,,USGS-02336300,-84.24275,33.49131
2018-02-13,"Height, gage",,2.96,ft,,USGS-02336300,-84.24275,33.49131
2018-02-13,Specific conductance,Total,121,uS/cm @25C,,USGS-02336300,-84.24275,33.49131
2018-02-13,"Acidity, (H+)",Total,0.00010,mg/l,,USGS-02336300,-84.24275,33.49131
2018-02-13,Oxygen,Dissolved,9.7,mg/l,,USGS-02336300,-84.24275,33.49131
2018-02-13,Oxygen,Dissolved,93,% saturatn,,USGS-02336300,-84.24275,33.49131
2018-02-13,pH,Total,7.0,std units,,USGS-02336300,-84.24275,33.49131
2018-02-13,"Height, gage",,0.90,m,,USGS-02336300,-84.24275,33.49131
2018-02-13,Stream flow,,2.8,m3/sec,Mean,USGS-02336300,-84.24275,33.49131
