ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2015-12-17,Number of sampling points,,1,count,,USGS-02203603,-84.2455,33.4102
2015-12-17,Specific conductance,Total,70,uS/cm @25C,,USGS-02203603,-84.2455,33.4102
2015-12-17,"Acidity, (H+)",Total,0.00090,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,pH,Total,6.0,std units,,USGS-02203603,-84.2455,33.4102
2015-12-17,Carbon dioxide,Total,16,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,2.4,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,0.47,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Nitrite,Dissolved,0.007,mg/l as N,,USGS-02203603,-84.2455,33.4102
2015-12-17,Nitrate,Dissolved,0.254,mg/l as N,,USGS-02203603,-84.2455,33.4102
2015-12-17,Kjeldahl nitrogen,Dissolved,0.21,mg/l as N,,USGS-02203603,-84.2455,33.4102
2015-12-17,Kjeldahl nitrogen,Total,2.1,mg/l as N,,USGS-02203603,-84.2455,33.4102
2015-12-17,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.261,mg/l as N,,USGS-02203603,-84.2455,33.4102
2015-12-17,Phosphorus,Total,0.584,mg/l as P,,USGS-02203603,-84.2455,33.4102
2015-12-17,Phosphorus,Dissolved,0.006,mg/l as P,,USGS-02203603,-84.2455,33.4102
2015-12-17,"Hardness, Ca, Mg",,19.2,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2015-12-17,"Hardness, non-carbonate",Dissolved,10,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2015-12-17,Calcium,Dissolved,5.64,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Magnesium,Dissolved,1.24,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Sodium,Dissolved,2.74,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.27,,,USGS-02203603,-84.2455,33.4102
2015-12-17,"Sodium, percent total cations",,21,%,,USGS-02203603,-84.2455,33.4102
2015-12-17,Potassium,Dissolved,2.27,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Chloride,Dissolved,2.18,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Sulfate,Dissolved,16.8,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Silica,Dissolved,3.08,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Cadmium,Dissolved,0.188,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Chromium,Dissolved,0.30,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Copper,Dissolved,3.0,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Iron,Dissolved,81.7,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Lead,Dissolved,0.325,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Manganese,Dissolved,250,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Nickel,Dissolved,2.2,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Zinc,Dissolved,114,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Aluminum,Dissolved,143,ug/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Alkalinity,Dissolved,9.2,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2015-12-17,Turbidity,Total,190,FNU,,USGS-02203603,-84.2455,33.4102
2015-12-17,Total dissolved solids,Dissolved,41,mg/l,,USGS-02203603,-84.2455,33.4102
2015-12-17,Total dissolved solids,Dissolved,0.06,tons/ac ft,,USGS-02203603,-84.2455,33.4102
2015-12-17,Nitrate,Dissolved,1.12,mg/l asNO3,,USGS-02203603,-84.2455,33.4102
2015-12-17,Nitrite,Dissolved,0.023,mg/l asNO2,,USGS-02203603,-84.2455,33.4102
2015-12-17,"Stream flow, median, storm event",,145,ft3/s,Median,USGS-02203603,-84.2455,33.4102
2015-12-17,"Stream flow, mean, storm event",,147,ft3/s,Mean,USGS-02203603,-84.2455,33.4102
2014-03-12,Number of sampling points,,1,count,,USGS-02203603,-84.2455,33.4102
2014-03-12,Specific conductance,Total,186,uS/cm @25C,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Acidity, (H+)",Total,0.00040,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,pH,Total,6.4,std units,,USGS-02203603,-84.2455,33.4102
2014-03-12,Carbon dioxide,Total,8.7,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,2.7,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,2.1,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Nitrite,Dissolved,0.033,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-12,Nitrate,Dissolved,0.951,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-12,Kjeldahl nitrogen,Dissolved,1.1,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-12,Kjeldahl nitrogen,Total,1.8,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-12,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.984,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-12,Phosphorus,Total,0.164,mg/l as P,,USGS-02203603,-84.2455,33.4102
2014-03-12,Phosphorus,Dissolved,0.005,mg/l as P,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Hardness, Ca, Mg",,48.9,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Hardness, non-carbonate",Dissolved,38,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2014-03-12,Calcium,Dissolved,13.8,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Magnesium,Dissolved,3.53,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Sodium,Dissolved,9.55,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.59,,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Sodium, percent total cations",,28,%,,USGS-02203603,-84.2455,33.4102
2014-03-12,Potassium,Dissolved,3.50,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Chloride,Dissolved,7.93,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Sulfate,Dissolved,53.7,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Silica,Dissolved,9.16,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Cadmium,Dissolved,1.48,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Copper,Dissolved,22.8,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Iron,Dissolved,151,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Lead,Dissolved,0.079,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Manganese,Dissolved,943,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Nickel,Dissolved,8.8,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Zinc,Dissolved,634,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Aluminum,Dissolved,59.7,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Alkalinity,Dissolved,11.1,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2014-03-12,Escherichia coli,,630,MPN/100 ml,,USGS-02203603,-84.2455,33.4102
2014-03-12,Total Coliform,Total,3300,MPN/100 ml,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Stream flow, max, storm event",,21,ft3/s,Maximum,USGS-02203603,-84.2455,33.4102
2014-03-12,Turbidity,Total,43,FNU,,USGS-02203603,-84.2455,33.4102
2014-03-12,Total dissolved solids,Dissolved,114,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-12,Total dissolved solids,Dissolved,0.16,tons/ac ft,,USGS-02203603,-84.2455,33.4102
2014-03-12,Suspended Sediment Concentration (SSC),Suspended,88,%,,USGS-02203603,-84.2455,33.4102
2014-03-12,Nitrate,Dissolved,4.21,mg/l asNO3,,USGS-02203603,-84.2455,33.4102
2014-03-12,Nitrite,Dissolved,0.107,mg/l asNO2,,USGS-02203603,-84.2455,33.4102
2014-03-12,"Stream flow, median, storm event",,5,ft3/s,Median,USGS-02203603,-84.2455,33.4102
2014-03-12,"Stream flow, mean, storm event",,8,ft3/s,Mean,USGS-02203603,-84.2455,33.4102
2014-03-12,Suspended Sediment Concentration (SSC),Suspended,62,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Temperature, water",,13.0,deg C,,USGS-02203603,-84.2455,33.4102
2014-03-24,Number of sampling points,,4,count,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Height, gage",,2.50,ft,,USGS-02203603,-84.2455,33.4102
2014-03-24,Stream width measure,,6.00,ft,,USGS-02203603,-84.2455,33.4102
2014-03-24,Specific conductance,Total,253,uS/cm @25C,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Acidity, (H+)",Total,0.00041,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Oxygen,Dissolved,10.7,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,pH,Total,6.4,std units,,USGS-02203603,-84.2455,33.4102
2014-03-24,Carbon dioxide,Total,12,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,2.4,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,2.4,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Nitrite,Dissolved,0.012,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-24,Nitrate,Dissolved,1.67,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-24,Kjeldahl nitrogen,Dissolved,0.70,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-24,Kjeldahl nitrogen,Total,0.73,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-24,Inorganic nitrogen (nitrate and nitrite),Dissolved,1.68,mg/l as N,,USGS-02203603,-84.2455,33.4102
2014-03-24,Phosphorus,Total,0.011,mg/l as P,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Hardness, Ca, Mg",,76.1,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Hardness, non-carbonate",Dissolved,61,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2014-03-24,Calcium,Dissolved,20.3,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Magnesium,Dissolved,6.14,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Sodium,Dissolved,11.8,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.59,,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Sodium, percent total cations",,24,%,,USGS-02203603,-84.2455,33.4102
2014-03-24,Potassium,Dissolved,3.43,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Chloride,Dissolved,12.0,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Sulfate,Dissolved,76.6,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Silica,Dissolved,17.2,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Cadmium,Dissolved,2.37,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Copper,Dissolved,36.2,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Iron,Dissolved,125,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Lead,Dissolved,0.043,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Manganese,Dissolved,1400,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Nickel,Dissolved,12.9,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Zinc,Dissolved,910,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Aluminum,Dissolved,35.0,ug/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Alkalinity,Dissolved,15.1,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2014-03-24,"Height, gage",,0.76,m,,USGS-02203603,-84.2455,33.4102
2014-03-24,Turbidity,Total,7.9,FNU,,USGS-02203603,-84.2455,33.4102
2014-03-24,Total dissolved solids,Dissolved,167,mg/l,,USGS-02203603,-84.2455,33.4102
2014-03-24,Total dissolved solids,Dissolved,0.23,tons/ac ft,,USGS-02203603,-84.2455,33.4102
2014-03-24,Suspended Sediment Concentration (SSC),Suspended,95,%,,USGS-02203603,-84.2455,33.4102
2014-03-24,Nitrate,Dissolved,7.40,mg/l asNO3,,USGS-02203603,-84.2455,33.4102
2014-03-24,Nitrite,Dissolved,0.041,mg/l asNO2,,USGS-02203603,-84.2455,33.4102
2014-03-24,Suspended Sediment Concentration (SSC),Suspended,15,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Number of sampling points,,1,count,,USGS-02203603,-84.2455,33.4102
2012-08-09,Specific conductance,Total,142,uS/cm @25C,,USGS-02203603,-84.2455,33.4102
2012-08-09,"Acidity, (H+)",Total,0.00042,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,pH,Total,6.4,std units,,USGS-02203603,-84.2455,33.4102
2012-08-09,Carbon dioxide,Total,10,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,2.8,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,1.1,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Nitrite,Dissolved,0.036,mg/l as N,,USGS-02203603,-84.2455,33.4102
2012-08-09,Nitrate,Dissolved,0.572,mg/l as N,,USGS-02203603,-84.2455,33.4102
2012-08-09,Kjeldahl nitrogen,Dissolved,0.52,mg/l as N,,USGS-02203603,-84.2455,33.4102
2012-08-09,Kjeldahl nitrogen,Total,2.2,mg/l as N,,USGS-02203603,-84.2455,33.4102
2012-08-09,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.608,mg/l as N,,USGS-02203603,-84.2455,33.4102
2012-08-09,Phosphorus,Total,0.401,mg/l as P,,USGS-02203603,-84.2455,33.4102
2012-08-09,Phosphorus,Dissolved,0.009,mg/l as P,,USGS-02203603,-84.2455,33.4102
2012-08-09,"Hardness, Ca, Mg",,39.7,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2012-08-09,"Hardness, non-carbonate",Dissolved,27,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2012-08-09,Calcium,Dissolved,12.0,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Magnesium,Dissolved,2.39,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Sodium,Dissolved,6.84,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.47,,,USGS-02203603,-84.2455,33.4102
2012-08-09,"Sodium, percent total cations",,25,%,,USGS-02203603,-84.2455,33.4102
2012-08-09,Potassium,Dissolved,3.76,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Chloride,Dissolved,5.37,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Sulfate,Dissolved,34.7,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Silica,Dissolved,5.21,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Cadmium,Dissolved,0.658,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Chromium,Dissolved,0.67,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Copper,Dissolved,5.7,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Iron,Dissolved,63.4,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Lead,Dissolved,0.459,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Manganese,Dissolved,597,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Nickel,Dissolved,6.6,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Zinc,Dissolved,317,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Aluminum,Dissolved,102,ug/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Alkalinity,Dissolved,12.6,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2012-08-09,Escherichia coli,,3000,MPN/100 ml,,USGS-02203603,-84.2455,33.4102
2012-08-09,Total Coliform,Total,55000,MPN/100 ml,,USGS-02203603,-84.2455,33.4102
2012-08-09,Turbidity,Total,96,FNU,,USGS-02203603,-84.2455,33.4102
2012-08-09,Total dissolved solids,Dissolved,82,mg/l,,USGS-02203603,-84.2455,33.4102
2012-08-09,Total dissolved solids,Dissolved,0.11,tons/ac ft,,USGS-02203603,-84.2455,33.4102
2012-08-09,Suspended Sediment Concentration (SSC),Suspended,81,%,,USGS-02203603,-84.2455,33.4102
2012-08-09,Nitrate,Dissolved,2.53,mg/l asNO3,,USGS-02203603,-84.2455,33.4102
2012-08-09,Nitrite,Dissolved,0.117,mg/l asNO2,,USGS-02203603,-84.2455,33.4102
2012-08-09,Suspended Sediment Concentration (SSC),Suspended,240,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Number of sampling points,,1,count,,USGS-02203603,-84.2455,33.4102
2017-05-04,Specific conductance,Total,90,uS/cm @25C,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Acidity, (H+)",Total,0.00007,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,pH,Total,7.2,std units,,USGS-02203603,-84.2455,33.4102
2017-05-04,Carbon dioxide,Total,2.0,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,1.5,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,0.64,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Nitrite,Dissolved,0.007,mg/l as N,,USGS-02203603,-84.2455,33.4102
2017-05-04,Nitrate,Dissolved,0.357,mg/l as N,,USGS-02203603,-84.2455,33.4102
2017-05-04,Kjeldahl nitrogen,Dissolved,0.27,mg/l as N,,USGS-02203603,-84.2455,33.4102
2017-05-04,Kjeldahl nitrogen,Total,1.1,mg/l as N,,USGS-02203603,-84.2455,33.4102
2017-05-04,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.365,mg/l as N,,USGS-02203603,-84.2455,33.4102
2017-05-04,Phosphorus,Total,0.221,mg/l as P,,USGS-02203603,-84.2455,33.4102
2017-05-04,Phosphorus,Dissolved,0.012,mg/l as P,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Hardness, Ca, Mg",,27.0,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Hardness, non-carbonate",Dissolved,12,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2017-05-04,Calcium,Dissolved,8.13,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Magnesium,Dissolved,1.63,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Sodium,Dissolved,4.22,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.35,,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Sodium, percent total cations",,24,%,,USGS-02203603,-84.2455,33.4102
2017-05-04,Potassium,Dissolved,2.25,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Chloride,Dissolved,3.01,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Sulfate,Dissolved,19.0,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Silica,Dissolved,5.06,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Cadmium,Dissolved,0.396,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Copper,Dissolved,9.7,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Iron,Dissolved,88.4,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Lead,Dissolved,1.24,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Manganese,Dissolved,199,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Nickel,Dissolved,3.3,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Zinc,Dissolved,123,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Aluminum,Dissolved,80.5,ug/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Alkalinity,Dissolved,15.2,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Stream flow, max, storm event",,65,ft3/s,Maximum,USGS-02203603,-84.2455,33.4102
2017-05-04,Turbidity,Total,54,FNU,,USGS-02203603,-84.2455,33.4102
2017-05-04,Total dissolved solids,Dissolved,54,mg/l,,USGS-02203603,-84.2455,33.4102
2017-05-04,Total dissolved solids,Dissolved,0.07,tons/ac ft,,USGS-02203603,-84.2455,33.4102
2017-05-04,Suspended Sediment Concentration (SSC),Suspended,76,%,,USGS-02203603,-84.2455,33.4102
2017-05-04,Nitrate,Dissolved,1.58,mg/l asNO3,,USGS-02203603,-84.2455,33.4102
2017-05-04,Nitrite,Dissolved,0.024,mg/l asNO2,,USGS-02203603,-84.2455,33.4102
2017-05-04,"Stream flow, median, storm event",,8,ft3/s,Median,USGS-02203603,-84.2455,33.4102
2017-05-04,"Stream flow, mean, storm event",,13,ft3/s,Mean,USGS-02203603,-84.2455,33.4102
2017-05-04,Suspended Sediment Concentration (SSC),Suspended,101,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,Number of sampling points,,1,count,,USGS-02203603,-84.2455,33.4102
2010-06-30,Specific conductance,Total,76,uS/cm @25C,,USGS-02203603,-84.2455,33.4102
2010-06-30,"Acidity, (H+)",Total,0.00017,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,pH,Total,6.8,std units,,USGS-02203603,-84.2455,33.4102
2010-06-30,Carbon dioxide,Total,3.8,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Total,2.8,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,"Nitrogen, mixed forms (NH3), (NH4), organic, (NO2) and (NO3)",Dissolved,1.5,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,Nitrite,Dissolved,0.023,mg/l as N,,USGS-02203603,-84.2455,33.4102
2010-06-30,Nitrate,Dissolved,0.755,mg/l as N,,USGS-02203603,-84.2455,33.4102
2010-06-30,Kjeldahl nitrogen,Dissolved,0.68,mg/l as N,,USGS-02203603,-84.2455,33.4102
2010-06-30,Kjeldahl nitrogen,Total,2.0,mg/l as N,,USGS-02203603,-84.2455,33.4102
2010-06-30,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.78,mg/l as N,,USGS-02203603,-84.2455,33.4102
2010-06-30,Phosphorus,Total,0.256,mg/l as P,,USGS-02203603,-84.2455,33.4102
2010-06-30,Phosphorus,Dissolved,0.017,mg/l as P,,USGS-02203603,-84.2455,33.4102
2010-06-30,"Hardness, Ca, Mg",,20.2,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2010-06-30,"Hardness, non-carbonate",Dissolved,8,mg/l CaCO3,,USGS-02203603,-84.2455,33.4102
2010-06-30,Calcium,Dissolved,6.08,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,Magnesium,Dissolved,1.23,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,Sodium,Dissolved,3.32,mg/l,,USGS-02203603,-84.2455,33.4102
2010-06-30,Sodium adsorption ratio [(Na)/(sq root of 1/2 Ca + Mg)],,0.32,,,USGS-02203603,-84.2455,33.4102
2010-06-30,"Sodium, percent total cations",,24,%,,USGS-02203603,-84.2455,33.4102
2010-06-30,Potassium,Dissolved,2.32,mg/l,,USGS-02203603,-84.2455,33.4102
