ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2012-09-12,"Temperature, water",,20.7,deg C,,USGS-335016084222501,-84.2225,33.5016
2012-09-12,"Stream flow, instantaneous",,0.01,ft3/s,,USGS-335016084222501,-84.2225,33.5016
2012-09-12,Specific conductance,Total,189,uS/cm @25C,,USGS-335016084222501,-84.2225,33.5016
2012-09-12,"Acidity, (H+)",Total,0.00075,mg/l,,USGS-335016084222501,-84.2225,33.5016
2012-09-12,Oxygen,Dissolved,2.2,mg/l,,USGS-335016084222501,-84.2225,33.5016
2012-09-12,pH,Total,6.1,std units,,USGS-335016084222501,-84.2225,33.5016
2012-09-12,"Stream flow, instantaneous",,0.00,m3/sec,,USGS-335016084222501,-84.2225,33.5016
