ActivityStartDate,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,StatisticalBaseCode,MonitoringLocationIdentifier,LongitudeMeasure,LatitudeMeasure
2012-09-11,"Temperature, water",,19.6,deg C,,USGS-340215084178701,-84.1787,34.0215
2012-09-11,"Stream flow, instantaneous",,0.07,ft3/s,,USGS-340215084178701,-84.1787,34.0215
2012-09-11,Specific conductance,Total,115,uS/cm @25C,,USGS-340215084178701,-84.1787,34.0215
2012-09-11,Oxygen,Dissolved,2.9,mg/l,,USGS-340215084178701,-84.1787,34.0215
2012-09-11,"Stream flow, instantaneous",,0.00,m3/sec,,USGS-340215084178701,-84.1787,34.0215
